age,gender,treatment,outcome
56,male,1,34.888751218978335
46,male,0,24.749232575312785
32,female,1,22.966104240583935
60,female,0,31.146393675539137
25,female,1,17.705321067554003
38,female,1,23.461950850505016
56,male,0,31.289997237029286
36,female,0,18.11050039274655
40,male,1,26.35167135865257
28,male,1,20.40941425931274
28,female,0,14.661861718391057
41,male,1,28.452320141765064
53,male,1,34.13560040826973
57,male,1,36.15755678396577
41,male,1,27.195729154662075
20,female,0,9.455818320826113
39,female,1,24.648581331482404
19,male,1,16.417975349395753
41,female,0,19.49920693880195
61,male,1,37.46775010733445
47,female,1,29.18996717063811
55,female,0,27.109616312634387
19,female,1,16.087252078575368
38,female,1,22.748183574603495
50,female,1,29.175846606500382
29,male,1,20.92721420418001
39,female,1,25.322490317205613
61,male,1,37.71238131257605
42,male,1,27.113945710643616
44,female,0,20.12772865297717
59,male,1,35.313257186346505
45,female,1,25.746717523344653
33,male,0,19.373475656080473
32,male,0,16.940916579658126
64,female,1,37.6805628429375
61,female,0,31.043803223264923
20,female,0,11.19158839631512
54,female,0,26.285342883680187
24,male,1,19.404726014933708
38,female,0,19.121683427133206
26,male,0,15.124466650596368
56,male,1,34.98098404754981
35,male,1,25.341914867770384
21,male,0,13.23256461786764
42,male,1,27.997480065336966
31,male,0,17.040601780670357
26,female,0,12.425632467054138
43,male,1,28.53542814791753
19,male,0,11.721822585267818
37,male,0,20.40853929564291
45,female,1,26.208203775669134
64,female,1,36.69534129542237
24,male,0,13.47291895459923
61,female,0,30.515079494992797
25,male,1,22.036158100872655
64,female,0,32.43015380949531
52,male,1,34.26224135707341
31,female,1,19.81591643783993
34,female,1,22.021887291311373
53,female,1,32.72867581543697
57,male,1,33.91955766963403
21,male,0,12.26658517707602
19,male,1,17.120654611587394
23,female,0,11.427417882833918
59,female,1,33.93210682552519
21,male,0,11.988277784166923
46,female,1,28.31539644050951
35,male,0,17.92951186908924
43,male,0,23.6246275748534
61,male,1,38.225853651794075
51,male,1,32.13786844304567
27,female,0,11.940021797086395
53,female,1,30.987962647158323
31,female,1,20.376234124827903
48,male,0,24.923468302234888
32,female,1,21.03063230722372
25,male,0,14.672047220606608
31,male,1,23.702586550849336
40,male,1,26.83507642108575
57,male,0,30.611723730322968
38,male,0,20.449048520952946
33,male,0,18.02282603135365
62,female,1,36.70418874401197
35,female,0,17.26550384072062
64,female,1,37.826602274191494
41,female,1,25.45321136726977
43,male,1,27.35616686122108
42,male,1,27.307098204384612
62,female,1,38.418389933230806
58,female,1,33.89953838315057
46,female,1,26.384670721743287
32,female,0,14.861691080498176
62,female,1,35.28714388775608
18,female,0,8.106714638637007
42,female,1,24.90079287868804
24,female,0,13.46236588543729
26,male,1,20.66466256820913
41,male,1,27.300178348964224
18,male,0,10.412730757229054
61,male,1,37.33830539294861
25,female,1,19.280774190338285
41,male,0,21.63496155465133
28,female,0,12.422834710764
34,male,1,24.667353310149664
25,female,1,18.508133896167564
52,female,1,32.45163427933082
52,male,1,32.647661741521034
50,male,0,26.658119588388374
22,female,1,18.01228100474411
59,female,1,35.0954997280831
56,female,1,32.914923900702654
58,male,1,36.50336708433051
45,male,0,24.064000163952894
24,female,0,12.301224810060765
26,male,0,15.284990262151423
25,female,0,13.334173463534613
29,male,0,15.515069644837304
51,male,1,32.855427973549254
50,male,1,30.833411253468842
40,male,0,23.87551944481602
41,male,1,27.080795938983584
54,female,1,30.345105896574122
52,female,0,28.777360856838726
61,male,0,31.978925144205864
57,female,1,33.59496429123152
39,female,0,17.80465480841044
44,male,0,23.94699287174269
52,female,1,32.67271383050874
18,male,0,11.704941066490575
52,female,1,29.299164372912603
54,female,1,31.236821098510244
64,female,1,37.91818117830878
31,female,1,21.136642651199512
20,female,1,14.51398473945675
18,female,0,9.397069026518274
22,female,0,9.801842695144465
43,male,1,27.19299171891034
31,male,1,20.00670848504248
56,male,1,35.92538700734278
44,male,0,23.894824529898003
26,female,1,18.00422211975859
32,female,0,12.930159928161162
32,female,1,20.950366261330558
43,male,1,29.051055507914146
59,male,1,34.410553218550646
30,male,0,17.04419991834826
49,female,0,24.433493454697608
56,male,0,29.534698161128738
49,female,0,25.807622793779053
21,male,0,13.567677279947926
47,female,1,31.81768705398499
54,male,1,32.78707252432375
40,female,0,20.428641434101475
56,male,1,36.49987315862809
62,male,0,32.30780487699309
32,female,1,22.691255854315802
60,female,1,35.3649039280128
46,male,1,28.253303570555357
53,female,1,30.214127381494325
30,male,1,21.419645459071102
49,female,0,24.411769000441602
24,male,1,20.238441032249234
39,female,0,19.41033013721407
45,male,1,30.69929351485428
19,male,1,16.607951648169358
59,male,0,31.512379668254106
62,female,1,35.70805669805904
23,male,0,14.482024560898846
45,female,1,27.62947772321689
45,female,0,21.767445317674433
61,female,1,35.83207960595925
61,male,1,37.0426752895223
37,female,0,17.987411329005997
47,female,1,29.682648528495655
28,female,0,13.84063371404756
45,male,0,26.634595551422244
42,female,0,21.735264379855458
56,female,0,27.23422171668997
50,female,1,29.165571016578497
18,female,1,12.759240182363076
44,male,0,24.605942871178144
30,male,0,16.143384772688243
58,female,0,26.734384233653884
20,female,0,8.34856419618854
56,female,1,31.89586062379783
23,female,0,11.836853416113938
25,male,1,19.417376802137845
44,male,0,24.94284217533249
26,male,0,14.092809376202004
54,male,1,33.67564281740296
50,female,0,26.747333460540496
59,female,0,29.158820902175176
61,male,1,37.724454503642
41,male,1,26.84370548191367
32,female,1,20.774456307608048
49,female,1,29.975268122114677
49,female,1,30.15709352272822
41,female,0,20.618129154083594
58,female,1,33.7401644625088
29,male,1,21.630205881225006
56,male,1,34.26387142962286
19,female,1,14.2845022225389
20,female,0,10.332339402834359
54,male,1,34.98699168246653
34,female,0,16.08848297104379
19,male,1,16.322798760073987
19,male,1,15.494918229813916
45,male,1,29.05555720898734
40,male,1,28.000504177131177
54,female,1,31.463473398826007
49,female,1,29.40400473381074
50,male,0,25.763206460128178
18,female,0,8.438879380183229
36,female,1,21.451631696565297
19,female,0,9.77873242719918
61,female,0,30.86809350578575
43,male,0,23.83688911091928
49,female,1,29.901102368802572
23,male,0,13.838713307502353
49,male,1,29.973710568944806
21,female,0,9.71221485330865
28,male,1,18.756268240100695
34,female,1,21.536425553233393
55,female,1,31.62926835726954
41,male,1,27.46131187131103
22,female,0,13.459462648083639
51,male,1,33.282277479195464
23,male,0,15.029579451034373
39,female,1,25.321415070546625
28,female,0,13.899924972459047
33,female,0,16.490299762934654
50,male,1,32.86458524391831
26,female,0,13.248350997869636
23,male,0,13.212039198474924
33,male,0,19.926465435473833
46,female,1,28.44473026584753
20,female,0,8.57482902086629
37,female,1,23.319630756741446
53,male,0,28.550237688526103
36,female,0,17.595631181782316
43,male,1,28.114839527636125
20,female,0,9.582719270430323
36,female,0,16.215294624923
37,male,0,18.537466517287044
49,male,0,25.846606738946633
24,female,0,11.599503261973949
58,female,1,32.6607044583846
50,female,0,23.975772274363823
57,female,1,33.246870629794984
56,female,1,34.03105854640988
35,male,1,25.4652993647139
57,male,1,36.49881920724805
18,male,0,9.989675484621426
28,male,1,20.777717552138945
45,female,1,28.735643080816487
42,male,1,26.23530856483107
40,male,1,26.540551289468162
48,male,1,31.222167340994005
47,female,0,21.79487035306812
59,male,1,36.92886049032563
52,female,0,27.54699307457963
24,male,0,15.22458474158971
33,female,1,21.322243673640585
43,male,0,24.314395029478852
19,female,0,7.783669869531224
18,male,0,11.278352856246933
29,female,1,19.195325663145198
22,female,0,10.850564900573863
54,male,1,34.10383002752867
49,female,1,29.88763186200424
26,female,0,11.54791051888626
58,male,1,35.01954274217675
52,male,1,32.743738693008964
36,female,1,21.221338879639507
33,male,1,23.637249402882734
20,male,1,17.832718244943052
37,male,1,26.892142826253824
41,female,0,20.596419630344247
50,female,0,26.886385008649963
41,female,0,20.464956265580234
28,female,1,17.74321171148687
25,female,1,17.44404613894364
53,female,0,26.294327128024857
55,female,1,33.01615763667375
57,male,1,35.77062601842512
37,female,1,23.699274412517557
52,female,1,31.966910159405273
42,male,0,22.570041728307267
52,male,0,28.53872452038705
42,male,1,28.280866519204263
46,female,0,23.113945450645303
35,male,1,24.434295187694595
63,female,1,35.22871945617575
35,female,0,17.246087364400676
19,female,0,9.310206134967572
52,male,1,32.27727531004381
33,male,0,17.142114988506517
58,female,1,33.44347529210248
53,female,0,26.026574660283277
50,female,0,23.659687731079096
21,male,0,11.158641815475784
50,female,1,27.908058327423017
31,male,0,17.79507317218058
38,female,1,24.978036805085942
37,male,1,25.51610224598195
25,female,0,12.095685356473583
24,male,1,17.609991135843746
20,male,0,9.795120932763812
34,male,1,23.967026546347864
50,male,1,32.615668444145555
29,male,0,15.66759152609233
39,male,0,22.555409714892303
39,female,0,18.811111901499572
63,female,1,37.584998282853675
47,female,1,27.71920404625351
55,female,0,24.83706795728711
55,male,0,30.12635570608662
62,female,1,35.077153420104494
25,male,1,17.957536009250486
44,male,1,29.48159301512734
44,male,0,23.110629959692897
51,female,1,29.087100094917634
38,male,0,22.311409195653994
47,female,1,28.29525197214352
50,female,1,28.564907575798063
45,female,1,27.036872046292515
64,female,0,34.13256308862681
50,female,0,25.11236054167957
22,male,0,12.358154518954823
36,male,1,25.50137659573715
21,female,1,15.045661150810803
52,male,1,32.49059249968644
34,female,1,21.343631467354022
61,male,1,38.35394895653304
45,male,1,29.694754407213896
47,male,1,31.92224383913177
46,male,1,30.306885318958166
63,male,1,40.02760038019979
23,male,0,14.150086637110194
52,male,1,32.740051697929474
58,male,1,35.864624388466645
54,male,1,35.827872117173754
41,male,0,23.803817251505155
46,male,1,31.54675783519929
63,male,1,37.49254979193316
48,male,1,29.124831133272195
52,female,1,30.15683334418317
50,male,0,27.16548243280787
38,male,1,25.354437578482873
49,male,0,26.527408527303265
40,male,1,26.548789691263536
50,male,1,30.23530081617717
20,male,0,12.428895853958112
35,female,1,22.530867374544815
42,female,0,22.329352424073814
59,female,1,34.659855752438524
48,male,0,26.782650046349634
20,male,0,11.180729027767773
